image_nr,precision,recall,accuracy,score
8068,0.189,0.403,0.905,0.257
6046,0.212,0.23,0.868,0.22
14092,0.12,0.138,0.855,0.128
29030,0.179,0.221,0.873,0.198
64061,0.193,0.26,0.88,0.222
total,0.179,0.25,0.876,0.205
