image_nr,precision,recall,accuracy,score
8068,0.927,0.974,0.905,0.95
6046,0.926,0.933,0.868,0.929
14092,0.916,0.928,0.855,0.922
29030,0.924,0.94,0.873,0.932
64061,0.925,0.948,0.88,0.936
total,0.924,0.945,0.876,0.934
