image_nr,precision,recall,score
71076.jpg,0.024317665504111605,0.9731113956466069,0.04744958481613286
226022.jpg,0.011122373503547653,0.9975429975429976,0.021999458141425086
6046.jpg,0.007151125882221144,0.9973958333333334,0.014200437506951913
146074.jpg,0.03462061689663789,0.9888977002379065,0.06689914163090128
235098.jpg,0.015715503486262595,0.9958448753462604,0.030942697910614773
384089.jpg,0.011730536051659477,0.9904761904761905,0.023186467129281275
41029.jpg,0.0023268630212479333,0.9661016949152542,0.004642544440145792
3063.jpg,0.008466935831602055,0.9863013698630136,0.016789739603575594
28083.jpg,0.0066001716636576195,0.9911111111111112,0.013113018934493707
49024.jpg,0.006507274987204797,0.956989247311828,0.012926652142338417
164046.jpg,0.004766923777128348,1.0,0.009488616044820599
130066.jpg,0.008185757851372318,1.0,0.016238590532795586
107045.jpg,0.005740571776155718,0.9901639344262295,0.011414964186494812
384022.jpg,0.016431144361318924,1.0,0.03233105253114522
160067.jpg,0.008694008694008694,1.0,0.01723814877271876
183066.jpg,0.005195453411076072,0.9346938775510204,0.010333468706285816
118072.jpg,0.008919083042356156,1.0,0.017680472482413574
41096.jpg,0.0037731838231386513,1.0,0.007518000847098687
230098.jpg,0.008597415031115366,0.9911699779249448,0.017046964577242873
94095.jpg,0.00429080310880829,1.0,0.008544941555824264
189029.jpg,0.014428697710228406,0.9825242718446602,0.02843974820143885
107072.jpg,0.009903164620145751,1.0,0.019612107313022674
97010.jpg,0.01063671526331449,0.9428571428571428,0.021036114448231055
15011.jpg,0.016641849872996408,1.0,0.03273886447833204
188025.jpg,0.01794745939947502,0.9813302217036173,0.035250230530639616
385022.jpg,0.007165632993447563,1.0,0.014229304016560265
202000.jpg,0.012475877252588948,0.9978260869565218,0.024643633727953612
159002.jpg,0.007853737442533629,0.9972972972972973,0.015584744688938633
163096.jpg,0.005185854327679079,1.0,0.010318199973372388
29030.jpg,0.002941740743109292,1.0,0.005866224574379901
102062.jpg,0.007643185653310393,0.9892933618843683,0.015169175709618636
309040.jpg,0.01799495468560217,0.9746963562753036,0.0353375043575583
