image_nr,precision,recall,score
296058.jpg,0.005810231128753441,1.0,0.011553334712519295
160067.jpg,0.007865712901479097,1.0,0.015608652622649512
257098.jpg,0.008088123685408852,1.0,0.01604646160464616
20069.jpg,0.0066072722622447675,1.0,0.013127805539086983
145059.jpg,0.009798865394533264,0.979381443298969,0.01940359477124183
226043.jpg,0.019784239110355782,0.9925857275254866,0.03879521127270751
188025.jpg,0.01712527226585137,1.0,0.033673870333988214
103078.jpg,0.007706362271386965,1.0,0.015294856835113547
309040.jpg,0.017564826886860785,0.9817813765182186,0.03451220379990038
128035.jpg,0.019426412169363434,0.9987546699875467,0.03811153087651769
105027.jpg,0.01078359337857112,1.0,0.021337096187971694
69000.jpg,0.008763574014097924,1.0,0.017374881964117093
43051.jpg,0.005322214312349571,1.0,0.010588076611815486
45000.jpg,0.005317269076305221,1.0,0.010578290535466037
36046.jpg,0.011834531087990275,0.8850267379679144,0.023356737113220196
35028.jpg,0.00834184045500948,0.9930555555555556,0.016544702513522115
209021.jpg,0.003325302840080079,1.0,0.00662856369846799
107045.jpg,0.005605061655678213,0.9672131147540983,0.011145534230013602
14092.jpg,0.00048593394769268146,0.875,0.0009713284651275735
41006.jpg,0.011225040474905558,1.0,0.022200875226811828
156054.jpg,0.006724394214661538,0.9827586206896551,0.013357392262086095
207049.jpg,0.0024910090143388706,1.0,0.004969638614092032
196027.jpg,0.023816574305173654,0.9859894921190894,0.04650970673275506
384022.jpg,0.015435874742952339,1.0,0.030402460907459624
385022.jpg,0.007082103801423364,0.9975550122249389,0.014064358227477206
71099.jpg,0.007839647427748115,0.9711286089238845,0.015553733947075267
202000.jpg,0.010176192103079702,0.9065217391304348,0.02012645397943916
29030.jpg,0.0030661215783860645,1.0,0.006113498427324679
163096.jpg,0.004968028333787401,1.0,0.009886938079063611
253092.jpg,0.007209141805353171,1.0,0.014315084139191348
2018.jpg,0.01037760324535956,1.0,0.0205420294591377
185092.jpg,0.015716121379855688,0.9695121951219512,0.030930843303180622
189006.jpg,0.009555735367780219,1.0,0.018930575168886684
101027.jpg,0.005014298585811102,0.9770992366412213,0.00997739496453348
393035.jpg,0.0064613184048928456,1.0,0.012839675577662883
109055.jpg,0.0028580194086967755,1.0,0.005699748824628068
49024.jpg,0.006584175275286638,0.9354838709677419,0.013076316086123321
3063.jpg,0.006654512306289882,1.0,0.013221045005886084
130014.jpg,0.008215665739771045,0.9978070175438597,0.016297145313227554
81095.jpg,0.02230151650312221,1.0,0.04363001745200698
77062.jpg,0.0034315218959960233,1.0,0.006839573645269029
41085.jpg,0.004905511292552841,1.0,0.009763129443370572
120003.jpg,0.013604881266490764,0.8886894075403949,0.026799491080371402
183066.jpg,0.0041943734015345265,0.8367346938775511,0.008346905537459282
118031.jpg,0.005419420653305846,0.8673469387755102,0.010771537795425265
51084.jpg,0.01201112140871177,1.0,0.023737133228323385
246009.jpg,0.004022942722855094,1.0,0.008013647002816678
146074.jpg,0.031284166583838584,0.9984139571768438,0.06066738947114805
365072.jpg,0.006166549543218552,1.0,0.01225751252815561
8068.jpg,0.00850957326992867,1.0,0.016875542871323982
100099.jpg,0.004600085088279089,0.9301075268817204,0.009154892310948825
335094.jpg,0.018729250621176374,1.0,0.03676982988317278
247012.jpg,0.00815615835777126,0.9823399558498896,0.01617799429225819
10081.jpg,0.01027646416878865,0.9941348973607038,0.020342644543790693
17067.jpg,0.005166169578184917,1.0,0.010279234885815716
281017.jpg,0.012684315120586865,1.0,0.025050877022967342
243095.jpg,0.022117536214815686,0.9822175732217573,0.04326092465043422
223004.jpg,0.009891173485045207,1.0,0.019588592800374005
100039.jpg,0.0037380809072765863,1.0,0.007448319394035031
277053.jpg,0.01143147466023117,1.0,0.022604546025367326
285022.jpg,0.010224133511804744,0.9972222222222222,0.020240746483240774
35049.jpg,0.00861068473662536,0.9465020576131687,0.0170661126363434
290035.jpg,0.01313976899438381,1.0,0.025938709340027198
268074.jpg,0.005101626346488164,0.9968253968253968,0.010151299624983836
249021.jpg,0.009441342289120877,1.0,0.01870607412949948
160006.jpg,0.008254230293025175,1.0,0.016373311502251332
103006.jpg,0.003348984946830548,1.0,0.006675613364990882
259060.jpg,0.008263647838434838,0.9882075471698113,0.016390236269754346
179084.jpg,0.01652072883901499,1.0,0.03250446030330063
61034.jpg,0.01597345132743363,0.989041095890411,0.031439146527324185
226033.jpg,0.011693987183251861,1.0,0.023117637015536967
187099.jpg,0.008197235196388828,1.0,0.01626117372716673
168084.jpg,0.003764695985025343,1.0,0.00750115241168336
140088.jpg,0.017306669170343944,0.9436860068259386,0.033989981253265314
223060.jpg,0.004429654919077768,1.0,0.008820239222097926
230063.jpg,0.023783521417303725,0.980980980980981,0.0464410956307459
69007.jpg,0.01532681847515442,1.0,0.03019090640819013
134049.jpg,0.00438130214877098,1.0,0.008724380152035152
120093.jpg,0.024732966919008607,1.0,0.04827202347821687
220003.jpg,0.01143330200921824,0.998046875,0.022607618457726852
65084.jpg,0.01844165396942153,1.0,0.036215435410647964
228076.jpg,0.01363492838074461,0.9937238493723849,0.026900750389352968
326025.jpg,0.007348636262693557,1.0,0.01459005551435958
230098.jpg,0.00817099567099567,1.0,0.01620954323439429
289011.jpg,0.005542544886807182,0.9964912280701754,0.011023774866569627
102062.jpg,0.00740294532599908,1.0,0.014697088906372934
159002.jpg,0.007747555332202609,1.0,0.015375984374675338
97010.jpg,0.010294458613494088,0.9758241758241758,0.02037398187449811
69022.jpg,0.0029669485011529595,1.0,0.005916343515779471
306051.jpg,0.010653586004713637,0.996415770609319,0.021081767683470153
384089.jpg,0.010219226745176281,1.0,0.020231701148871597
118072.jpg,0.00859703676605085,1.0,0.017047515415306493
388006.jpg,0.006403635612476761,1.0,0.012725779967159276
141048.jpg,0.0022735583573143393,1.0,0.004536802030456853
189029.jpg,0.01423477473398234,0.9766990291262136,0.028060584084125966
258089.jpg,0.009718029890304056,0.9924812030075187,0.019247594050743656
130066.jpg,0.0069296616694596675,1.0,0.013763943864699533
6046.jpg,0.006917797113981517,1.0,0.013740539960281252
253016.jpg,0.013193943763518385,0.9932157394843962,0.02604194460750307
16068.jpg,0.003094059405940594,1.0,0.006169031462060457
334025.jpg,0.004318547796808667,1.0,0.00859995627140879
71076.jpg,0.022775800711743774,0.9833546734955185,0.04452044868264688
344010.jpg,0.010909408273695236,0.9881422924901185,0.02158056023134361
48017.jpg,0.003909100385697905,1.0,0.007787757644982088
147077.jpg,0.006414063427960566,0.9947368421052631,0.012745941024733195
107014.jpg,0.0074917590650284685,0.9859154929577465,0.014870520255772948
372019.jpg,0.008688839826223203,0.997275204359673,0.01722758296069663
117025.jpg,0.007151104324183396,0.9481481481481482,0.01419514629502985
140006.jpg,0.008386200887630355,0.9967637540453075,0.016632465709039854
157087.jpg,0.012406656082789439,0.9890625,0.024505913551808912
