image_nr,precision,recall,score
100007,0.889,0.991,0.937
100039,0.892,0.988,0.938
100099,0.886,0.988,0.935
10081,0.893,0.984,0.936
101027,0.896,0.99,0.941
101084,0.898,0.993,0.943
102062,0.891,0.978,0.933
103006,0.892,0.994,0.94
103029,0.89,0.985,0.935
103078,0.896,0.985,0.939
104010,0.89,0.981,0.933
104055,0.89,0.987,0.936
105027,0.893,0.992,0.94
106005,0.89,0.992,0.938
106047,0.889,0.991,0.937
107014,0.892,0.985,0.936
107045,0.892,0.985,0.936
107072,0.893,0.985,0.937
108004,0.893,0.994,0.941
108036,0.894,0.984,0.937
108069,0.892,0.996,0.941
109055,0.892,0.995,0.941
112056,0.891,0.992,0.939
112090,0.895,0.961,0.927
117025,0.896,0.99,0.941
118015,0.896,0.984,0.938
118031,0.893,0.99,0.939
118072,0.891,0.985,0.935
120003,0.898,0.975,0.935
120093,0.893,0.985,0.937
123057,0.889,0.983,0.934
128035,0.897,0.978,0.936
130014,0.892,0.988,0.938
130066,0.895,0.986,0.939
134049,0.895,0.978,0.935
134067,0.89,0.986,0.936
140006,0.895,0.988,0.939
140088,0.898,0.98,0.937
14085,0.89,0.991,0.938
14092,0.888,0.983,0.933
141012,0.889,0.994,0.939
141048,0.889,0.994,0.939
145059,0.896,0.984,0.938
145079,0.897,0.975,0.934
146074,0.895,0.983,0.937
147077,0.893,0.988,0.938
147080,0.902,0.987,0.943
15011,0.897,0.978,0.936
15062,0.894,0.989,0.939
156054,0.89,0.987,0.936
157032,0.894,0.99,0.939
157087,0.895,0.984,0.938
159002,0.891,0.992,0.939
159022,0.892,0.991,0.939
160006,0.892,0.985,0.936
16004,0.895,0.979,0.935
160067,0.889,0.991,0.937
16068,0.893,0.988,0.938
161045,0.89,0.99,0.937
163004,0.89,0.961,0.924
163096,0.889,0.99,0.937
164046,0.889,0.995,0.939
168084,0.889,0.991,0.937
17067,0.895,0.984,0.937
175083,0.892,0.976,0.932
176051,0.891,0.995,0.94
179084,0.896,0.982,0.937
181021,0.896,0.995,0.943
183066,0.893,0.99,0.939
185092,0.89,0.987,0.936
