image_nr,precision,recall,score
187058,0.892,0.987,0.937
187099,0.894,0.978,0.934
188025,0.899,0.979,0.937
189006,0.895,0.982,0.937
189013,0.891,0.983,0.934
189029,0.895,0.987,0.939
189096,0.893,0.983,0.935
196027,0.904,0.985,0.943
196040,0.892,0.979,0.934
196062,0.892,0.989,0.938
196088,0.891,0.986,0.936
198087,0.897,0.983,0.938
20069,0.894,0.989,0.939
201080,0.894,0.993,0.941
2018,0.905,0.98,0.941
202000,0.894,0.987,0.938
206062,0.898,0.977,0.936
206097,0.892,0.988,0.937
207038,0.89,0.982,0.934
207049,0.892,0.985,0.936
208078,0.895,0.987,0.939
209021,0.891,0.995,0.94
217013,0.898,0.983,0.938
217090,0.895,0.987,0.939
220003,0.897,0.978,0.936
223004,0.896,0.993,0.942
223060,0.896,0.994,0.942
225022,0.893,0.988,0.938
226022,0.892,0.986,0.937
226033,0.894,0.981,0.936
226043,0.892,0.977,0.933
226060,0.896,0.983,0.938
228076,0.89,0.991,0.938
230063,0.895,0.976,0.934
230098,0.892,0.985,0.936
23050,0.897,0.969,0.932
232076,0.89,0.991,0.938
235098,0.896,0.979,0.936
238025,0.892,0.991,0.939
243095,0.894,0.981,0.935
246009,0.892,0.994,0.94
247003,0.89,0.992,0.938
247012,0.893,0.989,0.938
249021,0.892,0.992,0.939
250047,0.893,0.993,0.94
250087,0.894,0.98,0.935
253016,0.896,0.973,0.933
253092,0.892,0.993,0.94
257098,0.894,0.975,0.933
258089,0.894,0.968,0.93
259060,0.895,0.988,0.939
267036,0.893,0.978,0.934
268048,0.893,0.986,0.937
268074,0.892,0.991,0.939
277053,0.898,0.981,0.938
279005,0.891,0.99,0.938
28083,0.893,0.985,0.937
281017,0.893,0.986,0.937
285022,0.892,0.994,0.94
288024,0.894,0.987,0.939
289011,0.888,0.972,0.928
290035,0.893,0.981,0.935
29030,0.893,0.99,0.939
296028,0.895,0.989,0.94
296058,0.892,0.987,0.937
302022,0.891,0.99,0.938
306051,0.894,0.989,0.939
306052,0.89,0.992,0.938
3063,0.888,0.996,0.939
309040,0.899,0.97,0.933
317043,0.893,0.989,0.939
326025,0.894,0.988,0.939
326085,0.891,0.99,0.938
33044,0.892,0.991,0.939
334025,0.893,0.993,0.94
335088,0.895,0.979,0.935
335094,0.904,0.995,0.947
344010,0.894,0.993,0.941
346016,0.892,0.992,0.939
347031,0.89,0.983,0.934
35028,0.887,0.984,0.933
35049,0.891,0.989,0.937
36046,0.893,0.989,0.939
365072,0.896,0.985,0.938
368037,0.893,0.989,0.938
372019,0.891,0.993,0.939
376086,0.895,0.994,0.942
384022,0.897,0.99,0.941
384089,0.892,0.985,0.937
385022,0.895,0.982,0.936
388006,0.893,0.995,0.941
388018,0.908,0.96,0.934
388067,0.9,0.972,0.935
393035,0.896,0.977,0.935
41006,0.889,0.992,0.937
41029,0.891,0.986,0.936
41085,0.891,0.973,0.93
41096,0.889,0.994,0.939
43033,0.891,0.978,0.932
43051,0.889,0.996,0.939
45000,0.892,0.972,0.93
48017,0.895,0.995,0.942
48025,0.895,0.983,0.937
49024,0.89,0.988,0.937
5096,0.894,0.978,0.934
51084,0.895,0.981,0.936
6046,0.892,0.982,0.935
61034,0.897,0.989,0.941
64061,0.895,0.98,0.936
65084,0.899,0.984,0.94
69000,0.896,0.988,0.94
69007,0.894,0.98,0.935
69022,0.89,0.992,0.938
70011,0.884,0.996,0.937
70090,0.891,0.992,0.939
71076,0.896,0.98,0.936
71099,0.892,0.978,0.933
77062,0.895,0.981,0.936
78098,0.896,0.983,0.937
79073,0.895,0.977,0.934
80085,0.893,0.986,0.937
80090,0.891,0.991,0.938
8068,0.898,0.99,0.942
81066,0.892,0.985,0.936
81090,0.893,0.986,0.937
81095,0.894,0.978,0.934
87015,0.89,0.991,0.938
92014,0.896,0.977,0.935
94095,0.892,0.973,0.931
97010,0.889,0.99,0.937
